fact_id,series_evidence_id,scope,component_key,component_name,catalog_position,variant_key,variant_label,field,label,reference_value,reference_unit,source_reference,source_level,verification_status,comparison_source_type,comparison_source_reference,comparison_value,conflict_note,lifecycle_status,target_sku,reviewed_by,reviewed_date,notes_internal
24kd-nozzle-cylindrical-presence,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-17mm,Cylindrical Nozzle 17 mm,component_presence,Catalog Component,Cylindrical Nozzle 17 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact geometry and connection.
24kd-nozzle-cylindrical-profile,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-17mm,Cylindrical Nozzle 17 mm,profile,Nozzle Profile,Cylindrical,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm profile against exact product sample or drawing.
24kd-nozzle-cylindrical-opening,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-17mm,Cylindrical Nozzle 17 mm,opening,Opening Diameter,17,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm opening on the exact supplied nozzle.
24kd-nozzle-conical-presence,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-conical-12-5mm,Conical Nozzle 12.5 mm,component_presence,Catalog Component,Conical Nozzle 12.5 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact geometry and connection.
24kd-nozzle-conical-profile,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-conical-12-5mm,Conical Nozzle 12.5 mm,profile,Nozzle Profile,Conical,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm profile against exact product sample or drawing.
24kd-nozzle-conical-opening,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-conical-12-5mm,Conical Nozzle 12.5 mm,opening,Opening Diameter,12.5,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm opening on the exact supplied nozzle.
24kd-nozzle-tapered-presence,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-tapered-10mm,Tapered Nozzle 10 mm,component_presence,Catalog Component,Tapered Nozzle 10 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact geometry and connection.
24kd-nozzle-tapered-profile,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-tapered-10mm,Tapered Nozzle 10 mm,profile,Nozzle Profile,Tapered,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm profile against exact product sample or drawing.
24kd-nozzle-tapered-opening,mig-series-24kd,variant,gas-nozzle,Gas Nozzle,1,nozzle-tapered-10mm,Tapered Nozzle 10 mm,opening,Opening Diameter,10,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm opening on the exact supplied nozzle.
24kd-nozzle-family-od,mig-series-24kd,family,gas-nozzle,Gas Nozzle,1,gas-nozzle-family,24KD gas nozzle family,outside_diameter,Catalog Diagram Outside Diameter,20,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared catalog diagram; confirm whether the value applies to every listed nozzle profile.
24kd-nozzle-family-length,mig-series-24kd,family,gas-nozzle,Gas Nozzle,1,gas-nozzle-family,24KD gas nozzle family,overall_length,Catalog Diagram Length,63.5,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared catalog diagram; confirm whether the value applies to every listed nozzle profile.
24kd-tip-ecu-0-8-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,component_presence,Catalog Component,E-Cu Contact Tip 0.8 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-ecu-0-8-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,material,Catalog Material,E-Cu,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-ecu-0-8-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,wire_size,Wire Size,0.8,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-tip-ecu-0-9-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,component_presence,Catalog Component,E-Cu Contact Tip 0.9 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-ecu-0-9-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,material,Catalog Material,E-Cu,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-ecu-0-9-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,wire_size,Wire Size,0.9,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-tip-ecu-1-0-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,component_presence,Catalog Component,E-Cu Contact Tip 1.0 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-ecu-1-0-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,material,Catalog Material,E-Cu,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-ecu-1-0-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,wire_size,Wire Size,1.0,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-tip-ecu-1-2-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,component_presence,Catalog Component,E-Cu Contact Tip 1.2 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-ecu-1-2-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,material,Catalog Material,E-Cu,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-ecu-1-2-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,wire_size,Wire Size,1.2,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-tip-cucrzr-0-8-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,component_presence,Catalog Component,CuCrZr Contact Tip 0.8 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-cucrzr-0-8-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,material,Catalog Material,CuCrZr,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-cucrzr-0-8-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,wire_size,Wire Size,0.8,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-tip-cucrzr-1-0-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,component_presence,Catalog Component,CuCrZr Contact Tip 1.0 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-cucrzr-1-0-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,material,Catalog Material,CuCrZr,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-cucrzr-1-0-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,wire_size,Wire Size,1.0,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-tip-cucrzr-1-2-presence,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,component_presence,Catalog Component,CuCrZr Contact Tip 1.2 mm,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact alloy and dimensions.
24kd-tip-cucrzr-1-2-material,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,material,Catalog Material,CuCrZr,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm material grade for the exact supplied product.
24kd-tip-cucrzr-1-2-wire,mig-series-24kd,variant,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,wire_size,Wire Size,1.2,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm bore and marking on the exact product.
24kd-contact-tip-family-thread,mig-series-24kd,family,contact-tip,Contact Tip,2,contact-tip-family,24KD contact tip family,thread,Catalog Thread,M6,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared catalog diagram; confirm thread on every supplied variant.
24kd-contact-tip-family-length,mig-series-24kd,family,contact-tip,Contact Tip,2,contact-tip-family,24KD contact tip family,overall_length,Catalog Length,28,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared catalog diagram; confirm length on every supplied variant.
24kd-contact-tip-family-od,mig-series-24kd,family,contact-tip,Contact Tip,2,contact-tip-family,24KD contact tip family,outside_diameter,Catalog Body Diameter,8,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared catalog diagram; confirm body diameter on every supplied variant.
24kd-tip-holder-presence,mig-series-24kd,variant,tip-holder,Contact Tip Holder,3,tip-holder,Contact Tip Holder,component_presence,Catalog Component,Contact Tip Holder,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact connection geometry.
24kd-tip-holder-thread,mig-series-24kd,variant,tip-holder,Contact Tip Holder,3,tip-holder,Contact Tip Holder,thread,Catalog Threads,M6 / M6,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Diagram shows M6 at both ends; confirm pitch and seating details.
24kd-tip-holder-length,mig-series-24kd,variant,tip-holder,Contact Tip Holder,3,tip-holder,Contact Tip Holder,overall_length,Catalog Length,26,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm on the exact supplied holder.
24kd-diffuser-dmc-presence,mig-series-24kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,component_presence,Catalog Component,Gas Diffuser DMC,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; DMC meaning and material require factory confirmation.
24kd-diffuser-dmc-variant,mig-series-24kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,variant,Catalog Variant,DMC,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Do not infer material from the DMC label.
24kd-diffuser-ceramic-presence,mig-series-24kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,component_presence,Catalog Component,Gas Diffuser Ceramic,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm exact material and connection.
24kd-diffuser-ceramic-variant,mig-series-24kd,variant,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,variant,Catalog Variant,Ceramic,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog variant wording only; confirm the supplied construction.
24kd-diffuser-family-length,mig-series-24kd,family,gas-diffuser,Gas Diffuser,4,gas-diffuser-family,24KD gas diffuser family,overall_length,Catalog Diagram Length,20,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Shared catalog diagram; confirm whether the value applies to both variants.
24kd-swan-neck-presence,mig-series-24kd,variant,swan-neck,Swan Neck,5,swan-neck,Swan Neck,component_presence,Catalog Component,Swan Neck,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; exact bend and rear connection require confirmation.
24kd-swan-neck-thread,mig-series-24kd,variant,swan-neck,Swan Neck,5,swan-neck,Swan Neck,thread,Catalog Front Thread,M6,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm pitch and connection geometry on the exact supplied neck.
24kd-cable-support-spring-presence,mig-series-24kd,variant,cable-support-spring,Cable Support Spring,6,cable-support-spring,Cable Support Spring,component_presence,Catalog Component,Cable Support Spring,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; dimensions are not provided.
24kd-rear-handle-presence,mig-series-24kd,variant,rear-handle,Rear Handle,7,rear-handle,Rear Handle,component_presence,Catalog Component,Rear Handle,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; dimensions and connection are not provided.
24kd-adaptor-nut-presence,mig-series-24kd,variant,adaptor-nut,Adaptor Nut,8,adaptor-nut,Adaptor Nut,component_presence,Catalog Component,Adaptor Nut,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; thread is not provided.
24kd-euro-connector-presence,mig-series-24kd,variant,euro-connector,Euro Connector,9,euro-connector,Euro Connector,component_presence,Catalog Component,Euro Connector,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; exact interface and pin arrangement require confirmation.
24kd-euro-connector-type,mig-series-24kd,variant,euro-connector,Euro Connector,9,euro-connector,Euro Connector,connection,Catalog Connection Type,Euro Connector,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Trade description only; confirm the complete machine-side interface.
24kd-nut-m10-presence,mig-series-24kd,variant,connector-nut,Connector Nut,10,nut-m10x1,Nut M10 x 1,component_presence,Catalog Component,Nut M10 x 1,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; confirm mating connection.
24kd-nut-m10-thread,mig-series-24kd,variant,connector-nut,Connector Nut,10,nut-m10x1,Nut M10 x 1,thread,Catalog Thread,M10 x 1,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm thread and handedness on the exact product.
24kd-liner-3-5m-presence,mig-series-24kd,variant,torch-liner,Torch Liner,11,liner-3-5m,Torch Liner 3.5 m,component_presence,Catalog Component,Torch Liner for 0.8-1.2 mm wire / 3.5 m,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; liner ends and construction require confirmation.
24kd-liner-3-5m-wire,mig-series-24kd,variant,torch-liner,Torch Liner,11,liner-3-5m,Torch Liner 3.5 m,wire_size,Catalog Wire Size,0.8-1.2,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual wire range for the supplied liner.
24kd-liner-3-5m-length,mig-series-24kd,variant,torch-liner,Torch Liner,11,liner-3-5m,Torch Liner 3.5 m,cable_length,Catalog Liner Length,3.5,m,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied liner length.
24kd-liner-5-5m-presence,mig-series-24kd,variant,torch-liner,Torch Liner,11,liner-5-5m,Torch Liner 5.5 m,component_presence,Catalog Component,Torch Liner for 0.8-1.2 mm wire / 5.5 m,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; liner ends and construction require confirmation.
24kd-liner-5-5m-wire,mig-series-24kd,variant,torch-liner,Torch Liner,11,liner-5-5m,Torch Liner 5.5 m,wire_size,Catalog Wire Size,0.8-1.2,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual wire range for the supplied liner.
