sku,product_name,category,expected_image_file,current_asset_status,priority,recommended_shots,required_action,notes
AF-TIG-GL-0010,TIG Gas Lens 1.6mm,TIG Torch Parts,tig-gas-lens-1-6mm.jpg,missing - placeholder fallback active,High,"front mesh view; side view; group with collet body","Add real product photo to public/images/products/","Confirm gas lens type and torch series."
AF-TIG-BC-0011,TIG Back Cap,TIG Torch Parts,tig-back-cap.jpg,missing - placeholder fallback active,Medium,"side view; thread detail; short/long cap group if available","Add real product photo to public/images/products/","Confirm cap length and torch series."
AF-TIG-TE-0012,TIG Tungsten Electrode,TIG Torch Parts,tig-tungsten-electrode.jpg,missing - placeholder fallback active,Medium,"pack view; electrode tip detail; group by diameter if available","Add real product photo to public/images/products/","Confirm diameter length and color code before publishing as confirmed data."
AF-PLA-EL-0007,Plasma Electrode,Plasma Cutting Consumables,plasma-electrode.jpg,local asset exists - authorization/data still needs review,High,"side view; tip close-up; group view","Confirm asset authorization or replace with real photo","Do not claim brand compatibility unless confirmed."
AF-PLA-NZ-0008,Plasma Nozzle,Plasma Cutting Consumables,plasma-nozzle.jpg,local asset exists - authorization/data still needs review,High,"side view; front orifice view; group view","Confirm asset authorization or replace with real photo","Confirm nozzle size and torch model before publishing as confirmed data."
AF-PLA-SR-0009,Plasma Swirl Ring,Plasma Cutting Consumables,plasma-swirl-ring.jpg,local asset exists - authorization/data still needs review,Medium,"top view; side view; stack context if available","Confirm asset authorization or replace with real photo","Confirm stack compatibility."
AF-PLA-SH-0010,Plasma Shield,Plasma Cutting Consumables,plasma-shield.jpg,missing - placeholder fallback active,Medium,"side view; front view; group with nozzle if available","Add real product photo to public/images/products/","Confirm torch model shield type and reference number if available."
AF-PLA-RC-0011,Plasma Retaining Cap,Plasma Cutting Consumables,plasma-retaining-cap.jpg,missing - placeholder fallback active,Medium,"side view; thread detail; group with plasma stack","Add real product photo to public/images/products/","Confirm torch model and thread."
AF-PLA-CT-0012,Plasma Cutting Tip,Plasma Cutting Consumables,plasma-cutting-tip.jpg,missing - placeholder fallback active,Medium,"side view; orifice close-up; package view","Add real product photo to public/images/products/","Confirm cutting current or size only when real data is available."
AF-PLA-TS-0013,Plasma Torch Spacer,Plasma Cutting Consumables,plasma-torch-spacer.jpg,missing - placeholder fallback active,Low,"side view; detail view; group with related consumables","Add real product photo to public/images/products/","Confirm torch model and spacer type."
AF-CON-EH-0010,Electrode Holder,Welding Consumables,electrode-holder.jpg,local asset exists - authorization/data still needs review,Medium,"full product side view; jaw close-up; cable connection view","Confirm asset authorization or replace with real photo","Do not publish current rating unless confirmed."
AF-CON-EL-0011,Welding Electrode,Welding Consumables,welding-electrode.jpg,missing - placeholder fallback active,Medium,"package view; electrode bundle; diameter label only if confirmed","Add real product photo to public/images/products/","Confirm electrode type diameter length and package."
AF-CON-WW-0012,Welding Wire,Welding Consumables,welding-wire.jpg,missing - placeholder fallback active,Medium,"spool view; wire close-up; package view","Add real product photo to public/images/products/","Confirm wire type diameter and spool package."
AF-ACC-GC-0011,Ground Clamp,Welding Accessories,ground-clamp.jpg,local asset exists - authorization/data still needs review,High,"full clamp side view; jaw close-up; cable connection view","Confirm asset authorization or replace with real photo","Do not publish current rating unless confirmed."
AF-ACC-CC-0012,Welding Cable Connector,Welding Accessories,welding-cable-connector.jpg,local asset exists - authorization/data still needs review,Medium,"single connector; connector pair; detail close-up","Confirm asset authorization or replace with real photo","Confirm connector size before adding model-specific labels."
AF-ACC-WC-0013,Welding Cable,Welding Accessories,welding-cable.jpg,missing - placeholder fallback active,Medium,"coiled cable view; cross-section if available; connector context","Add real product photo to public/images/products/","Confirm cable size conductor material and length."
AF-ACC-DC-0014,Dinse Connector,Welding Accessories,dinse-connector.jpg,missing - placeholder fallback active,Medium,"single connector; pair view; cable connection detail","Add real product photo to public/images/products/","Confirm connector size and cable compatibility."
AF-ACC-WM-0015,Welding Magnet,Welding Accessories,welding-magnet.jpg,missing - placeholder fallback active,Low,"full product view; angle use view if available; package view","Add real product photo to public/images/products/","Confirm holding force angle type and package."
