request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
40kd-img-swan-neck-main,mig-series-40kd,40kd-candidate-swan-neck,swan-neck,swan-neck,Swan Neck,main,front-three-quarter,/images/products/40kd-intake/swan-neck-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-cable-support-spring-main,mig-series-40kd,40kd-candidate-cable-support-spring,cable-support-spring,cable-support-spring,Cable Support Spring,main,front-three-quarter,/images/products/40kd-intake/cable-support-spring-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-rear-handle-main,mig-series-40kd,40kd-candidate-rear-handle,rear-handle,rear-handle,Rear Handle,main,front-three-quarter,/images/products/40kd-intake/rear-handle-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-adaptor-nut-main,mig-series-40kd,40kd-candidate-adaptor-nut,adaptor-nut,adaptor-nut,Adaptor Nut,main,front-three-quarter,/images/products/40kd-intake/adaptor-nut-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-euro-connector-main,mig-series-40kd,40kd-candidate-euro-connector,euro-connector,euro-connector,Euro Connector,main,front-three-quarter,/images/products/40kd-intake/euro-connector-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-nut-m10x1-main,mig-series-40kd,40kd-candidate-nut-m10x1,connector-nut,nut-m10x1,Nut M10 x 1,main,front-three-quarter,/images/products/40kd-intake/nut-m10x1-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-liner-3-5m-main,mig-series-40kd,40kd-candidate-liner-3-5m,torch-liner,liner-3-5m,Torch Liner 3.5 m,main,front-three-quarter,/images/products/40kd-intake/liner-3-5m-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-liner-5-5m-main,mig-series-40kd,40kd-candidate-liner-5-5m,torch-liner,liner-5-5m,Torch Liner 5.5 m,main,front-three-quarter,/images/products/40kd-intake/liner-5-5m-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-complete-torch-3m-connector,mig-series-40kd,40kd-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 40KD Complete Torch 3M,technical,connection-detail,/images/products/40kd-intake/complete-torch-3m-connector.jpg,Square close-up of machine-side connector and cable transition,"Show pin layout, gas/power interfaces, cable marking and strain relief",,,,requested,,,Does not prove rating or compatibility by itself.
40kd-img-complete-torch-5m-connector,mig-series-40kd,40kd-candidate-complete-torch-5m,complete-torch,complete-torch-5m,ORK 40KD Complete Torch 5M,technical,connection-detail,/images/products/40kd-intake/complete-torch-5m-connector.jpg,Square close-up of machine-side connector and cable transition,"Show pin layout, gas/power interfaces, cable marking and strain relief",,,,requested,,,Does not prove rating or compatibility by itself.
40kd-img-nozzle-cylindrical-21mm-dimension,mig-series-40kd,40kd-candidate-nozzle-cylindrical-21,gas-nozzle,nozzle-cylindrical-21mm,Cylindrical Nozzle 21 mm,dimension,controlled-measurement,/images/products/40kd-intake/nozzle-cylindrical-21mm-dimension.jpg,Exact nozzle beside a calibrated measuring tool,"Show opening, outside diameter, overall length and connection geometry",,,,requested,,,Measurement applies only to this exact profile.
40kd-img-nozzle-conical-18mm-dimension,mig-series-40kd,40kd-candidate-nozzle-conical-18,gas-nozzle,nozzle-conical-18mm,Conical Nozzle 18 mm,dimension,controlled-measurement,/images/products/40kd-intake/nozzle-conical-18mm-dimension.jpg,Exact nozzle beside a calibrated measuring tool,"Show opening, outside diameter, overall length and connection geometry",,,,requested,,,Measurement applies only to this exact profile.
40kd-img-nozzle-tapered-14mm-dimension,mig-series-40kd,40kd-candidate-nozzle-tapered-14,gas-nozzle,nozzle-tapered-14mm,Tapered Nozzle 14 mm,dimension,controlled-measurement,/images/products/40kd-intake/nozzle-tapered-14mm-dimension.jpg,Exact nozzle beside a calibrated measuring tool,"Show opening, outside diameter, overall length and connection geometry",,,,requested,,,Measurement applies only to this exact profile.
40kd-img-tip-ecu-1-0-detail,mig-series-40kd,40kd-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,technical,thread-and-orifice-detail,/images/products/40kd-intake/contact-tip-ecu-1-0mm-detail.jpg,"Macro view of exact contact-tip thread, opening and marking","Show thread profile, calibrated bore evidence and genuine material/size marking",,,,requested,,,Cannot confirm other wire-size variants.
40kd-img-tip-cucrzr-1-0-detail,mig-series-40kd,40kd-candidate-tip-cucrzr-1-0,contact-tip,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,technical,thread-and-orifice-detail,/images/products/40kd-intake/contact-tip-cucrzr-1-0mm-detail.jpg,"Macro view of exact contact-tip thread, opening and marking","Show thread profile, calibrated bore evidence and genuine material/size marking",,,,requested,,,Cannot confirm other wire-size variants.
40kd-img-tip-holder-43-dimension,mig-series-40kd,40kd-candidate-tip-holder-43,tip-holder,tip-holder-43mm,Contact Tip Holder M8 x 43 mm,dimension,controlled-measurement,/images/products/40kd-intake/tip-holder-43mm-dimension.jpg,Exact holder beside calibrated measuring tool,Show overall length and both thread interfaces,,,,requested,,,Measurement applies only to this holder.
40kd-img-gas-diffuser-dmc-detail,mig-series-40kd,40kd-candidate-gas-diffuser-dmc,gas-diffuser,gas-diffuser-dmc,Gas Diffuser DMC,technical,interface-and-hole-detail,/images/products/40kd-intake/gas-diffuser-dmc-detail.jpg,Macro view of exact diffuser interfaces and gas holes,"Show both ends, gas-hole pattern and genuine construction",,,,requested,,,One diffuser variant only.
40kd-img-gas-diffuser-ceramic-detail,mig-series-40kd,40kd-candidate-gas-diffuser-ceramic,gas-diffuser,gas-diffuser-ceramic,Gas Diffuser Ceramic,technical,interface-and-hole-detail,/images/products/40kd-intake/gas-diffuser-ceramic-detail.jpg,Macro view of exact diffuser interfaces and gas holes,"Show both ends, gas-hole pattern and genuine construction",,,,requested,,,One diffuser variant only.
40kd-img-component-packaging,mig-series-40kd,40kd-candidate-tip-holder-43,tip-holder,tip-holder-43mm,Contact Tip Holder M8 x 43 mm,packaging,standard-export-packing,/images/products/40kd-intake/40kd-component-packaging.jpg,Actual packing with visible product identification,"Show quantity label, protection and carton arrangement without unsupported marks",,,,requested,,,Must identify exact covered variants.
