candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
501d-candidate-tip-holder-25,mig-series-501d,tip-holder,Contact Tip Holder,4,tip-holder-25mm,Contact Tip Holder M8 x 25 mm,Catalog lists 25 mm holder; diagram shows M8 and M10 x 1 interfaces,"Confirm both threads, exact length, material, coolant/gas passage and mating stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Each holder length is separate.
501d-candidate-tip-holder-29,mig-series-501d,tip-holder,Contact Tip Holder,4,tip-holder-29mm,Contact Tip Holder M8 x 29 mm,Catalog lists 29 mm holder; diagram shows M8 and M10 x 1 interfaces,"Confirm both threads, exact length, material, coolant/gas passage and mating stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Each holder length is separate.
501d-candidate-insulator,mig-series-501d,insulator,Insulator,5,insulator,Insulator,Catalog assembly lists the insulator,"Confirm exact identity, interfaces, dimensions, material and mating parts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Catalog-presence record only.
501d-candidate-swan-neck,mig-series-501d,swan-neck,Swan Neck,6,swan-neck,Swan Neck,Catalog assembly lists the swan neck,"Confirm neck geometry and identify each coolant, gas and power interface from a drawing or approved sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Catalog-presence record only.
501d-candidate-cable-support-spring,mig-series-501d,cable-support-spring,Cable Support Spring,7,cable-support-spring,Cable Support Spring,Catalog assembly lists the cable support spring,"Confirm exact identity, interfaces, dimensions, material and mating parts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Catalog-presence record only.
501d-candidate-rear-handle,mig-series-501d,rear-handle,Rear Handle,8,rear-handle,Rear Handle,Catalog assembly lists the rear handle,"Confirm exact identity, interfaces, dimensions, material and mating parts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Catalog-presence record only.
501d-candidate-adaptor-nut,mig-series-501d,adaptor-nut,Adaptor Nut,9,adaptor-nut,Adaptor Nut,Catalog assembly lists the adaptor nut,"Confirm exact identity, interfaces, dimensions, material and mating parts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Catalog-presence record only.
501d-candidate-euro-connector,mig-series-501d,euro-connector,Euro Connector,10,euro-connector,Euro Connector,Catalog labels a Euro Connector in the water-cooled rear assembly,"Confirm pin layout, coolant, gas, power and cable interfaces and exact assembly",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Generic wording does not establish connection compatibility.
501d-candidate-nut-m10x1,mig-series-501d,connector-nut,Connector Nut,11,nut-m10x1,Nut M10 x 1,Catalog lists M10 x 1 connector nut,"Confirm thread direction, pitch, dimensions, material and mating connector",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Fit requires measurement or drawing.
501d-candidate-liner-3-5m,mig-series-501d,torch-liner,Torch Liner,12,liner-3-5m,Torch Liner 3.5 m,Catalog lists liner for 1.0-1.2 mm wire with 3.5 m length,"Confirm liner type, outside diameter, ends, length and supported wire range",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,End geometry must be photographed and measured.
501d-candidate-liner-5-5m,mig-series-501d,torch-liner,Torch Liner,12,liner-5-5m,Torch Liner 5.5 m,Catalog lists liner for 1.0-1.2 mm wire with 5.5 m length,"Confirm liner type, outside diameter, ends, length and supported wire range",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,End geometry must be photographed and measured.
501d-candidate-rear-media-connection-set,mig-series-501d,rear-media-connection-set,Rear Media Connection Set,assembly,rear-media-connection-set,Rear Media Connection Set,Catalog assembly image shows multiple rear hose and conductor leads without identifying each function,"Provide connection drawing that identifies coolant supply, coolant return, gas, power and control leads plus connector standards",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not assign interface functions from hose color or appearance.
